plotcode,visit,lulc,phase,date,season,common_name,scientific_name,family,order,cue,individual
F4,7,forest,4,09/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Black-chinned Yuhina,Yuhina nigrimenta,Zosteropidae,Passeriformes,sight,3
F4,7,forest,4,09/03/2023,post-winter,Black-throated Tit,Aegithalos concinnus,Aegithalidae,Passeriformes,sight,3
F4,7,forest,4,09/03/2023,post-winter,Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Chestnut-crowned Warbler,Phylloscopus castaniceps,Phylloscopidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Mountain Bulbul,Ixos mcclellandii,Pycnonotidae,Passeriformes,call,1
B1,8,bamboo,4,07/03/2023,post-winter,Nepal Fulvetta,Alcippe nipalensis,Leiothrichidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,White-gorgeted Flycatcher,Anthipes monileger,Muscicapidae,Passeriformes,call,1
F4,7,forest,4,09/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Ashy Drongo,Dicrurus leucophaeus,Dicruridae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Black-throated Sunbird,Aethopyga saturata,Nectariniidae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Rufous-faced Warbler,Abroscopus albogularis,Scotocercidae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F7,7,forest,4,09/03/2023,post-winter,Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxanthus,Stenostiridae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Dark-sided Thrush,Zoothera marginata,Turdidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Fire-breasted Flowerpecker,Dicaeum ignipectus,Dicaeidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Orange-bellied Leafbird,Chloropsis hardwickii,Chloropseidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Pygmy Cupwing,Pnoepyga pusilla,Pnoepygidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Slaty-backed Forktail,Enicurus schistaceus,Muscicapidae,Passeriformes,call,1
F8,7,forest,4,10/03/2023,post-winter,Small Niltava,Niltava macgrigoriae,Muscicapidae,Passeriformes,sight,1
F8,7,forest,4,10/03/2023,post-winter,Spotted Forktail,Enicurus maculatus,Muscicapidae,Passeriformes,call,1
A3,8,abandoned,4,11/03/2023,post-winter,Brownish-flanked Bush Warbler,Horornis fortipes,Scotocercidae,Passeriformes,call,2
A3,8,abandoned,4,11/03/2023,post-winter,Rufous-breasted Accentor,Prunella strophiata,Prunellidae,Passeriformes,sight,1
A4,8,abandoned,4,11/03/2023,post-winter,Golden Babbler,Cyanoderma chrysaeum,Timaliidae,Passeriformes,call,1
A4,8,abandoned,4,11/03/2023,post-winter,Hill Prinia,Prinia superciliaris,Cisticolidae,Passeriformes,call,1
A4,8,abandoned,4,11/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,call,1
A4,8,abandoned,4,11/03/2023,post-winter,Rufous-breasted Accentor,Prunella strophiata,Prunellidae,Passeriformes,call,1
B4,8,bamboo,4,11/03/2023,post-winter,Chestnut-headed Tesia,Cettia castaneocoronata,Scotocercidae,Passeriformes,call,1
B4,8,bamboo,4,11/03/2023,post-winter,Great Barbet,Psilopogon virens,Megalaimidae,Piciformes,call,1
B4,8,bamboo,4,11/03/2023,post-winter,Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopidae,Passeriformes,call,1
B4,8,bamboo,4,11/03/2023,post-winter,Hume's Bush Warbler,Horornis brunnescens,Scotocercidae,Passeriformes,sight,1
A3,7,abandoned,4,02/03/2023,post-winter,White-crested Laughingthrush,Garrulax leucolophus,Leiothrichidae,Passeriformes,call,1
F7,8,forest,4,11/03/2023,post-winter,Black-chinned Yuhina,Yuhina nigrimenta,Zosteropidae,Passeriformes,sight,8
F7,8,forest,4,11/03/2023,post-winter,Chestnut-tailed Minla,Actinodura strigula,Leiothrichidae,Passeriformes,sight,2
